type,"	id","question	","opt1	",opt2,opt3,opt4,active_count,"answer_index	","explanation	",score
TF,1,يعد العلم الطريق الوحيد لمعرفة عالم الغيب.,صح,خطا,,,2,2,,1
TF,2,حياة الأنسان ال تخلو منذ وجوده على ظهر الأرض من مظاهر التدين.,صح,خطا,,,2,1,,1
TF,3,أشاع مشركو مكة أن القرآن الكريم ليس وحياً من عند الله.,صح,خطا,,,2,1,,1
TF,4,الإيمان والأخلاق صفتان متكاملتان.,صح,خطا,,,2,1,,1
TF,5,يصح الجمع بين الإيمان بالله والاحتكام إلى غير ما أنزل الله سبحانه وتعالى.,صح,خطا,,,2,2,,1
TF,6,التشريعات والقوانين أقوى على كبح جماح النفس من الوازع الخلقي.,صح,خطا,,,2,2,,1
TF,7,شبه رسول الله صلى الله عليه وآله وسلم الصلاة برأس الأمر.,صح,خطا,,,2,2,,1
TF,8, زيارة روضات الشهداء إحدى صور إحياء ذكراهم.,صح,خطا,,,2,1,,1
TF,9,كرم الإسلام المرأة بينما الشرائع الوضعية تعتبرها رجساً من عمل الشيطان.,صح,خطا,,,2,1,,1
TF,10,التكليف من شروط إقامة الحدود.,صح,خطا,,,2,1,,1
TF,11,الإرث أفضل طرق التملك وأكثرها انتشاراً.,صح,خطا,,,2,2,,1
TF,12,يسقط حد السرقة إذا لم يطالب صاحب المال بماله المسروق.,صح,خطا,,,2,1,,1
TF,13,للموصي الحق في إبطال الوصية أو تغييرها.,صح,خطا,,,2,1,,1
TF,14,يشترط لإقامة حد الحرابة وجود السلاح.,صح,خطا,,,2,1,,1
TF,15,كتب بنود صلح الحديبية الإمام علي بن أبي طالب عليه السلام.,صح,خطا,,,2,1,,1
TF,16,هلال بن أمية ممن تخلف عن غزوة تبوك ثم لحق بالجيش,صح,خطا,,,2,2,,1
TF,17,التوكل يشمل العبادة والأستعانة والاعتقاد بالأسباب.,صح,خطا,,,2,2,,1
TF,18,كان طعام وشراب النبي صلى الله عليه وآله وسلم الأسودين.,صح,خطا,,,2,1,,1
TF,19,تقتصر أضرار الربا الجسيمة على الفرد.,صح,خطا,,,2,2,,1
MCQ,20,أعطى الرسول صلى الله عليه وآله وسلم مفاتيح الكعبة يوم الفتح لعثمان بن طلحة.,صح,خطا,,,2,1,,2
MCQ,21,الإعجاز العلمي في السنة النبوية كان موجهاً لعلماء ...,الاجتماع,الفلسفة,السياسة,التطبيق,4,4,,2
MCQ,22,قال تعالى : (نُمَتِّعُهُمْ قَلِيلًا ثُمَّ نَضْطَرُّهُمْ إِلَىٰ عَذَابٍ غَلِيظٍۢ) تدل الآية على ...,الربوبية,القدرة المطلقة,الوحدانية,الكمال المطلق,4,2,,2
MCQ,23,المعجزة ليس لها صلة بــ ...,طلب الرسل,طلب الرسل,تأييد الله,عالم الأسباب,4,4,,2
MCQ,24,السعادة الدائمة للأنسان المؤمن تكون في ...,الأولاد,الأموال ,المنصب,السكينة,4,3,,2
MCQ,25,(اجعل لنا ذات أنواط كما لهم ذات أنواط) طلب تقدم به جهلة ...,مسلمة الفتح,بني إسرائيل,أهل العقبة,أصحاب السفينة,4,3,,2
MCQ,26,تطبيق الشورى من مسؤولية ...,العامل,الحاكم,القاضي,العالم,4,3,,2
MCQ,27,للتوبة من ذنب الرياء لابد من الأقلاع عنه و ...,رجاع الحقوق,الندم,العزم والندم,العزم,4,3,,2
MCQ,28,الغاية الكبرى من علم الجرح والتعديل ...,اشتراط الإسناد,تنقية الأحاديث,تطبيق الأحاديث,تجريح الرواة,4,2,,2
MCQ,29,كانت رضي الله عنها تنقل النوى من أرض زوجها الزبير الواقعة خارج المدينة.,اسماء بنت أبي بكر ,اسماء بنت عبده,أسماء بنت عميس,نسيبة بنت كعب,4,1,,2
MCQ,30,الحاكم العام يجب أن يستخدم قوته وسلطانه في .,نشر العدل,الظلم والطغيان,التسلط والقهر,مصالحه الشخصية,4,1,,2
MCQ,31,الترويح والملاطفة بهدف طرد السأم وتطييب الخواطر ...,الكذب,السخرية,المزاح,الجدال,4,3,,2
MCQ,32,كل بلاء يلاقيه المسلم في حياته يمكن أن يواجه بــ ..,التحدي,الكسل,العجز,الصبر,4,4,,2
MCQ,33,سبب لأن تفقد السلطة هيبتها في تنفيذ الأحكام بين الناس ...,التمييز,العدل,الإنصاف,المساواة,4,1,,2
MCQ,34,عند تقسيم التركة نبدأ بأصحاب ..,الأرحام,الفروض,العصبات,الولاء,4,2,,2
MCQ,35,الهبة العمرى هي المشروطة بحياة ...,الواهب أو الهبة,الموهوب له وذريته,الواهب أو الموهوب له,شهود الهبة,4,3,,2
MCQ,36,أهم مقاصد الأحكام الشرعية الحفاظ على ...,الدين,النص,القياس,الاستقراء,4,1,,2
MCQ,37,"توفي رجل وترك أباً وأما،ً وزوجة، فΈن نصيب أالب .",السدس,الثلث,النصف,الباقي,4,4,,2
MCQ,38,المحارب إذا قتل ولم يأخذ المال فعقوبته ...,الصلب,النفي,الحبس,القتل,4,4,,2
MCQ,39,"كل مما يأتي من موانع إصدار القاضي للأحكام، عدا ...",المساواة بين الخصوم,مشوش الفكر,يعاني من الألم,مشغول بأي أمر,4,1,,2
MCQ,40,حقن طبيب شخصاً بـ إبرة عامداً قتله فمات يوجب ...,القصاص,الحبس,الدية,الصلب,4,1,,2
MCQ,41,اعتراف شخص بما ادعي عليه ...,شهادة,إقرار,يمين ,إنكار,4,2,,2
MCQ,42,الوارثون من الرجال فرضاً وعصبة ...,الزوج,الأخ,العم,الأب,4,4,,2
MCQ,43,قبيلة اعتدت على خزاعة بمساعدة قريش ...,الأحابيش,هوازن,ثقيف,بنو بكر,4,4,,2
MCQ,44,(فوالله إن كان نبياً فالعننا لا نفلح) قالها وفد ...,بني الحارث,بني عامر,بني أسد,نصارى نجران,4,4,,2
MCQ,45,اندفاع المؤمنين في تجهيز جيش العسرة دليل واضح على ما يفعله ...,حب المال والسلطة,هوى النفس والغريزة,الإيمان الصادق للمؤمن,حب الأولاد والأموال,4,3,,2
MCQ,46,زواج النبي صلى الله عليه وآله وسلم من زينب بنت جحش كان لحكمة ...,تشريعية,تعليمية,سياسية,اجتماعية,4,1,,2
MCQ,47,خطبة الرسول صلى الله عليه وآله وسلم للأنصار يوم حنين دليل على ...,حسن سياسته,حكمته في التوزيع,تألفه لقلوبهم,حمايته لهم,4,1,,2
MCQ,48,قال رسول الله صلى الله عليه وآله وسلم (ومن دعا إلى ضلالة كان له من الإثم مثل ..... من تبعه).,سيئات,آثام,ذنوب,معاصي,4,2,,2
MCQ,49,تنعقد الوصية بالإشارة إذا كان الموصي ...,أكمه,أعمى,أبكم,أعرج,4,3,,2
